#ID	x0	y0		x1	y1
170	223 560 		137 510 
171	-273 373 		-273 473 
172	-273 473 		-373 473 
173	-373 473 		-373 373 
174	-460 -50 		-546 0 
175	-546 0 		-596 -87 
176	-596 -87 		-510 -137 
177	-187 -423 		-273 -473 
178	-273 -473 		-223 -560 
179	-223 -560 		-137 -510 
180	187 -423 		273 -473 
181	460 -50 		546 0 
182	273 373 		273 473 
183	-187 423 		-273 473 
184	-460 50 		-546 0 
185	-273 -373 		-273 -473 
186	423 -187 		510 -137 
187	510 -137 		460 -50 
188	373 273 		373 373 
189	373 373 		273 373 
190	-50 460 		-137 510 
191	-137 510 		-187 423 
192	-423 187 		-510 137 
193	-510 137 		-460 50 
194	-373 -273 		-373 -373 
195	-373 -373 		-273 -373 
196	50 -460 		137 -510 
197	137 -510 		187 -423 
198	510 -137 		596 -87 
199	596 -87 		546 0 
200	373 373 		373 473 
201	373 473 		273 473 
202	-137 510 		-223 560 
203	-223 560 		-273 473 
204	-510 137 		-596 87 
205	-596 87 		-546 0 
206	-373 -373 		-373 -473 
207	-373 -473 		-273 -473 
208	137 -510 		223 -560 
209	223 -560 		273 -473 
210	373 -273 		460 -323 
211	460 -323 		510 -237 
212	510 -237 		423 -187 
213	423 187 		510 237 
214	510 237 		460 323 
215	460 323 		373 273 
216	50 460 		50 560 
217	50 560 		-50 560 
218	-50 560 		-50 460 
219	-373 273 		-460 323 
220	-460 323 		-510 237 
221	-510 237 		-423 187 
222	-423 -187 		-510 -237 
223	-510 -237 		-460 -323 
224	-460 -323 		-373 -273 
225	-50 -460 		-50 -560 
226	-50 -560 		50 -560 
227	50 -560 		50 -460 
228	460 -323 		546 -373 
229	546 -373 		596 -287 
230	596 -287 		510 -237 
231	510 237 		596 287 
232	596 287 		546 373 
233	546 373 		460 323 
234	50 560 		50 660 
235	50 660 		-50 660 
236	-50 660 		-50 560 
237	-460 323 		-546 373 
238	-546 373 		-596 287 
239	-596 287 		-510 237 
240	-510 -237 		-596 -287 
241	-596 -287 		-546 -373 
242	-546 -373 		-460 -323 
243	-50 -560 		-50 -660 
244	-50 -660 		50 -660 
245	50 -660 		50 -560 
246	223 -560 		273 -646 
247	273 -646 		373 -646 
248	373 -646 		423 -560 
249	423 -560 		373 -473 
250	596 -87 		696 -87 
251	696 -87 		746 0 
