#ID	x0	y0		x1	y1
171	-523 -87 		-423 -87 
172	-423 -187 		-523 -187 
173	-523 -187 		-573 -273 
174	-573 -273 		-523 -360 
175	-523 -360 		-423 -360 
176	-423 -360 		-373 -273 
177	-287 -323 		-337 -410 
178	-337 -410 		-287 -496 
179	-287 -496 		-187 -496 
180	-187 -496 		-137 -410 
181	-50 -460 		-100 -546 
182	-100 -546 		-50 -633 
183	-50 -633 		50 -633 
184	50 -633 		100 -546 
185	100 -546 		50 -460 
186	100 -546 		187 -496 
187	187 -496 		187 -596 
188	187 -596 		287 -596 
189	287 -596 		287 -496 
190	287 -496 		373 -546 
191	373 -546 		423 -460 
192	423 -460 		337 -410 
193	337 -410 		423 -360 
194	423 -360 		423 -460 
195	423 -460 		523 -460 
196	523 -460 		523 -360 
197	523 -360 		610 -410 
198	610 -410 		660 -323 
199	660 -323 		573 -273 
200	573 -273 		660 -223 
201	660 -223 		610 -137 
202	610 -137 		523 -187 
203	523 -187 		523 -87 
204	523 -87 		610 -137 
205	610 -137 		660 -50 
206	660 -50 		573 0 
207	573 0 		660 50 
208	660 50 		610 137 
209	610 137 		523 87 
210	523 87 		523 187 
211	523 187 		610 137 
212	610 137 		660 223 
213	660 223 		573 273 
214	573 273 		660 323 
215	660 323 		610 410 
216	610 410 		523 360 
217	523 360 		523 460 
218	523 460 		423 460 
219	423 460 		423 360 
220	423 360 		337 410 
221	337 410 		423 460 
222	423 460 		373 546 
223	373 546 		287 496 
224	287 496 		287 596 
225	287 596 		187 596 
226	187 596 		187 496 
227	187 496 		100 546 
228	100 546 		187 596 
229	187 596 		137 683 
230	137 683 		50 633 
231	50 633 		50 733 
232	50 733 		-50 733 
233	-50 733 		-50 633 
234	-50 633 		-137 683 
235	-137 683 		-187 596 
236	-187 596 		-100 546 
237	-100 546 		-187 496 
238	-187 496 		-187 596 
239	-187 596 		-287 596 
240	-287 596 		-287 496 
241	-287 496 		-373 546 
242	-373 546 		-423 460 
243	-423 460 		-337 410 
244	-337 410 		-423 360 
245	-423 360 		-423 460 
246	-423 460 		-523 460 
247	-523 460 		-523 360 
248	-523 360 		-610 410 
249	-610 410 		-660 323 
250	-660 323 		-573 273 
251	-573 273 		-660 223 
252	-660 223 		-610 137 
253	-610 137 		-523 187 
254	-523 187 		-523 87 
